"Date","Close","Open","High","Low","Target"
"2020-05-15","1743.0","1730.52","1752.13","1727.93","1"
"2020-05-13","1715.99","1702.5","1719.02","1698.81","1"
"2020-04-09","1684.07","1646.08","1691.17","1643.1","1"
"2020-06-19","1743.61","1723.69","1745.36","1721.18","1"
"2020-04-03","1618.45","1615.09","1626.07","1606.3","1"
"2020-05-07","1717.94","1686.08","1723.06","1683.5","1"
"2020-03-24","1622.03","1553.71","1638.72","1553.41","1"
"2020-05-12","1702.72","1697.04","1711.79","1693.17","1"
"2020-06-08","1697.96","1684.65","1700.9","1677.52","1"
"2020-05-29","1728.3","1721.7","1737.71","1712.53","1"
"2020-02-26","1639.96","1635.37","1655.09","1625.79","1"
"2020-03-05","1670.61","1635.91","1674.69","1635.07","1"
"2020-06-23","1767.54","1755.26","1771.25","1747.43","1"
"2020-06-12","1730.8","1728.34","1743.16","1722.57","1"
"2020-06-16","1727.46","1725.55","1733.12","1716.43","1"
"2020-06-22","1755.44","1748.78","1763.42","1743.27","1"
"2020-07-06","1783.9","1776.31","1787.09","1770.13","1"
"2020-06-30","1781.67","1771.9","1786.02","1765.35","1"
"2020-02-18","1601.92","1583.44","1605.45","1583.09","1"
"2020-02-27","1642.35","1640.55","1660.57","1635.65","1"
"2020-04-14","1729.7","1712.34","1747.85","1708.55","1"
"2020-05-05","1707.17","1700.82","1712.9","1691.45","1"
"2020-03-20","1498.24","1470.54","1516.25","1460.3","1"
"2020-06-01","1740.33","1738.05","1744.84","1727.26","1"
"2020-04-16","1718.4","1716.46","1739.17","1707.88","1"
"2020-04-13","1714.32","1685.69","1723.88","1674.87","1"
"2020-06-09","1714.57","1700.49","1721.04","1692.2","1"
"2020-05-01","1700.41","1685.95","1706.53","1670.06","1"
"2020-04-10","1689.9","1676.0","1697.5","1676.0","1"
"2020-07-07","1795.26","1783.91","1797.59","1773.79","1"
"2020-03-03","1639.77","1590.77","1649.55","1587.86","1"
"2020-04-02","1613.79","1590.52","1621.15","1579.04","1"
"2020-05-19","1745.11","1732.31","1748.76","1725.66","1"
"2020-03-30","1623.3","1622.0","1639.61","1608.72","1"
"2020-06-10","1737.1","1714.8","1740.06","1708.47","1"
"2020-07-02","1776.14","1769.6","1779.83","1757.68","1"
"2020-02-24","1660.72","1659.05","1689.11","1652.37","1"
"2020-04-06","1663.0","1597.5","1669.97","1597.5","1"
"2020-05-04","1701.69","1699.0","1712.57","1691.84","1"
"2020-04-23","1731.58","1713.56","1739.74","1706.26","1"
"2020-04-29","1712.39","1708.3","1717.76","1697.55","1"
"2020-02-19","1611.64","1601.85","1613.04","1599.53","1"
"2020-06-26","1771.47","1761.82","1772.12","1747.67","1"
"2020-05-20","1749.5","1745.92","1754.77","1741.89","1"
"2020-05-14","1730.65","1715.63","1737.41","1710.51","1"
"2020-07-03","1775.05","1774.77","1777.43","1772.48","1"
"2020-07-10","1798.9","1802.13","1810.76","1794.28","-1"
"2020-07-09","1803.19","1811.3","1816.26","1795.82","-1"
"2020-07-01","1770.31","1781.6","1789.48","1759.27","-1"
"2020-06-29","1772.28","1773.74","1775.72","1765.78","-1"
"2020-06-24","1762.43","1768.99","1779.61","1760.8","-1"
"2020-06-18","1722.99","1726.3","1737.17","1717.57","-1"
"2020-06-17","1727.04","1727.71","1730.41","1713.22","-1"
"2020-06-15","1725.53","1732.32","1734.53","1704.31","-1"
"2020-06-11","1727.51","1737.01","1744.92","1721.58","-1"
"2020-06-05","1685.83","1711.81","1717.25","1670.74","-1"
"2020-06-03","1698.64","1728.1","1733.8","1689.54","-1"
"2020-06-02","1727.96","1740.34","1745.26","1721.4","-1"
"2020-05-27","1709.26","1712.47","1716.37","1693.82","-1"
"2020-05-26","1712.45","1728.82","1736.07","1708.3","-1"
"2020-05-25","1729.57","1734.61","1736.01","1721.45","-1"
"2020-05-21","1726.33","1749.52","1751.01","1717.1","-1"
"2020-05-18","1732.32","1743.01","1765.94","1727.2","-1"
"2020-05-11","1697.35","1702.65","1712.64","1691.59","-1"
"2020-05-08","1702.65","1717.46","1723.91","1701.06","-1"
"2020-05-06","1685.89","1707.51","1709.34","1682.28","-1"
"2020-04-30","1685.05","1712.27","1723.17","1680.64","-1"
"2020-04-28","1708.64","1715.31","1716.04","1691.63","-1"
"2020-04-27","1715.57","1726.15","1727.93","1705.68","-1"
"2020-04-24","1729.43","1731.57","1737.44","1710.21","-1"
"2020-04-21","1687.02","1694.11","1698.6","1661.39","-1"
"2020-04-17","1684.69","1715.99","1719.12","1679.37","-1"
"2020-04-15","1716.6","1728.8","1732.27","1707.71","-1"
"2020-04-08","1646.52","1647.59","1657.69","1641.94","-1"
"2020-04-07","1648.95","1663.03","1673.55","1641.89","-1"
"2020-03-31","1571.31","1618.49","1626.27","1566.23","-1"
"2020-03-27","1623.5","1632.38","1637.86","1612.22","-1"
"2020-03-25","1613.79","1628.19","1643.05","1587.2","-1"
"2020-03-19","1471.0","1485.9","1501.05","1464.18","-1"
"2020-03-18","1486.3","1527.7","1546.22","1472.86","-1"
"2020-03-16","1514.61","1550.55","1573.49","1451.5","-1"
"2020-03-13","1529.7","1576.95","1597.72","1506.86","-1"
"2020-03-12","1577.08","1634.8","1650.47","1561.01","-1"
"2020-03-11","1635.03","1649.69","1671.13","1632.97","-1"
"2020-03-10","1649.36","1679.1","1680.53","1642.15","-1"
"2020-03-09","1680.2","1694.4","1702.96","1657.74","-1"
"2020-03-04","1635.83","1639.76","1651.65","1632.06","-1"
"2020-03-02","1590.73","1591.1","1611.03","1579.7","-1"
"2020-02-28","1585.13","1642.15","1649.48","1565.86","-1"
"2020-02-25","1635.38","1660.72","1660.86","1629.1","-1"
"2020-02-17","1581.1","1584.7","1584.81","1578.6","-1"
"2020-02-12","1565.63","1567.73","1570.59","1561.8","-1"
